Station,date,windspeed
  251,20190101,  100
  251,20190102,   75
  251,20190103,   45
  251,20190104,   69
  251,20190105,   82
  251,20190106,   44
  251,20190107,   76
  251,20190108,  130
  251,20190109,   87
  251,20190110,   28
  251,20190111,   60
  251,20190112,   79
  251,20190113,  100
  251,20190114,   75
  251,20190115,   86
  251,20190116,  105
  251,20190117,   80
  251,20190118,   40
  251,20190119,   63
  251,20190120,   21
  251,20190121,   33
  251,20190122,  100
  251,20190123,   35
  251,20190124,   35
  251,20190125,   61
  251,20190126,   85
  251,20190127,   94
  251,20190128,  120
  251,20190129,   80
  251,20190130,   40
  251,20190131,   63
  251,20190201,   64
  251,20190202,   30
  251,20190203,   47
  251,20190204,  106
  251,20190205,   50
  251,20190206,   69
  251,20190207,  113
  251,20190208,  111
  251,20190209,  134
  251,20190210,   60
  251,20190211,   69
  251,20190212,   64
  251,20190213,   68
  251,20190214,   47
  251,20190215,   40
  251,20190216,   56
  251,20190217,   49
  251,20190218,   55
  251,20190219,   72
  251,20190220,   71
  251,20190221,   60
  251,20190222,   28
  251,20190223,   48
  251,20190224,   28
  251,20190225,   19
  251,20190226,   15
  251,20190227,   31
  251,20190228,   28
  251,20190301,   45
  251,20190302,   71
  251,20190303,  110
  251,20190304,  123
  251,20190305,   93
  251,20190306,   89
  251,20190307,  118
  251,20190308,   93
  251,20190309,  113
  251,20190310,   58
  251,20190311,  103
  251,20190312,  125
  251,20190313,  136
  251,20190314,  105
  251,20190315,  104
  251,20190316,  120
  251,20190317,  103
  251,20190318,   81
  251,20190319,   39
  251,20190320,   59
  251,20190321,   53
  251,20190322,   48
  251,20190323,   43
  251,20190324,   48
  251,20190325,   93
  251,20190326,   59
  251,20190327,   40
  251,20190328,   17
  251,20190329,   31
