station,date,windspeed
  380,20190101,   42
  380,20190102,   30
  380,20190103,   21
  380,20190104,   27
  380,20190105,   37
  380,20190106,   21
  380,20190107,   43
  380,20190108,   56
  380,20190109,   46
  380,20190110,   17
  380,20190111,   34
  380,20190112,   45
  380,20190113,   55
  380,20190114,   40
  380,20190115,   49
  380,20190116,   68
  380,20190117,   45
  380,20190118,   19
  380,20190119,   32
  380,20190120,   28
  380,20190121,   20
  380,20190122,   45
  380,20190123,   35
  380,20190124,   18
  380,20190125,   45
  380,20190126,   62
  380,20190127,   62
  380,20190128,   55
  380,20190129,   41
  380,20190130,   32
  380,20190131,   33
  380,20190201,   28
  380,20190202,   35
  380,20190203,   26
  380,20190204,   63
  380,20190205,   33
  380,20190206,   55
  380,20190207,   74
  380,20190208,   86
  380,20190209,   82
  380,20190210,   74
  380,20190211,   36
  380,20190212,   38
  380,20190213,   30
  380,20190214,   17
  380,20190215,   18
  380,20190216,   33
  380,20190217,   34
  380,20190218,   40
  380,20190219,   38
  380,20190220,   39
  380,20190221,   32
  380,20190222,   17
  380,20190223,   34
  380,20190224,   23
  380,20190225,   23
  380,20190226,   21
  380,20190227,   20
  380,20190228,   48
  380,20190301,   30
  380,20190302,   48
  380,20190303,   84
  380,20190304,   86
  380,20190305,   54
  380,20190306,   64
  380,20190307,   87
  380,20190308,   55
  380,20190309,   68
  380,20190310,   71
  380,20190311,   54
  380,20190312,   80
  380,20190313,   74
  380,20190314,   63
  380,20190315,   63
  380,20190316,   76
  380,20190317,   63
  380,20190318,   36
  380,20190319,   24
  380,20190320,   32
  380,20190321,   21
  380,20190322,   15
  380,20190323,   23
  380,20190324,   30
  380,20190325,   54
  380,20190326,   21
  380,20190327,   13
  380,20190328,   15
  380,20190329,   27
